,institute,degree centrality,structural hole (effective),structural hole (local)
82,Universidad de las Américas Puebla,0.0005753739930955121,1.0,0.0625
83,Manchester Metropolitan University Business School,0.0023014959723820483,3.5,0.45562500000000006
84,"MIA518, AgroParisTech/INRA, Paris, France",0.0005753739930955121,1.0,1.0
85,Université de Technologie de Compiègne,0.0005753739930955121,1.0,1.0
86,"ewi Energy Research & Scenarios, Vogelsanger Straße 321a, Cologne 50827, Germany",0.0005753739930955121,1.0,1.0
87,"International Energy Agency (IEA), 9 rue de la Fédération, Paris Cedex 15 75739, France",0.0005753739930955121,1.0,1.0
88,Shanghai Jiao Tong University,0.0034522439585730723,5.666666666666667,0.15015625000000002
89,Taipei City University of Science and Technology,0.0011507479861910242,1.0,0.25
90,Soochow University,0.0011507479861910242,1.0,0.25
91,Lunghwa University of Science and Technology,0.0011507479861910242,1.0,0.25
92,Athens University of Economics and Business,0.004602991944764097,5.857142857142858,0.18113130668934235
93,University of Sussex,0.0023014959723820483,2.3333333333333335,0.05333900226757369
94,Universidad de Extremadura,0.0005753739930955121,1.0,1.0
95,Universidad Autónoma de Madrid,0.0005753739930955121,1.0,1.0
96,Universidade Federal do Rio Grande do Sul,0.0011507479861910242,2.0,0.5625
97,Universidade Federal de Santa Maria,0.0005753739930955121,1.0,0.25
98,"Group for Research in Decision Analysis, HEC Montréal, 3000, chemin de la Côte-Sainte-Catherine, Montréal, Quebec H3T 2A7, Canada",0.0005753739930955121,1.0,1.0
99,"Institut de Recherche Mathématique de Rennes & INSA de Rennes, Rennes, France",0.0005753739930955121,1.0,1.0
100,Sorbonne Universités,0.0023014959723820483,3.5,0.390625
101,"Instituto Federal Fluminense – IFF, Av. Souza Mota, 350, Pq. Fundão, 28060-010 Campos dos Goytacazes, RJ, Brazil",0.0011507479861910242,1.0,0.25
102,Departamento de Engenharia de Produção – Universidade Federal Fluminense,0.0011507479861910242,1.0,0.25
103,"Departamento de Informática – PUC–Rio, Rua Marquês de São Vicente, 225, Gávea 22451-900 Rio de Janeiro, RJ, Brazil",0.0011507479861910242,1.0,0.25
104,Jinan University,0.0028768699654775605,3.4,0.01018891810943093
105,Chongqing University,0.006329113924050633,8.6,0.04758175402162249
106,Huazhong Agricultural University,0.0011507479861910242,1.0,0.08506944444444442
107,University of Southern Denmark,0.0017261219792865361,2.3333333333333335,0.13040123456790123
108,Tianjin University of Technology,0.0023014959723820483,3.0,0.06043402777777779
109,University of York,0.0034522439585730723,4.666666666666667,0.028904293088715435
110,American University,0.0005753739930955121,1.0,1.0
111,"Graduate School of Business and Public Policy, Naval Postgraduate School, Monterey, CA, USA",0.0005753739930955121,1.0,1.0
112,Vienna University of Technology,0.0034522439585730723,1.5,0.011417287518445465
113,University of Vienna,0.015535097813578827,20.652173913043477,0.09326528774224835
114,"Production and Quantitative Methods, Indian Institute of Management Ahmedabad, Vastrapur, Ahmedabad 380015, India",0.0011507479861910242,1.0,0.1111111111111111
115,University of Helsinki,0.0011507479861910242,1.0,0.1111111111111111
116,Aalto University School of Business,0.004027617951668585,5.0,0.11484567901234566
117,York University,0.005178365937859608,5.571428571428571,0.12755102040816324
118,Universidad Miguel Hernández,0.0011507479861910242,1.0,0.10331632653061222
119,"School of Business, Worcester Polytechnic Institute, Worcester, MA 01609, USA",0.0011507479861910242,1.0,0.10331632653061222
120,Shanghai University of Finance and Economics,0.005178365937859608,7.888888888888889,0.10184766041761924
121,Auburn University,0.0028768699654775605,4.6,0.4578777777777779
122,European University Institute,0.0017261219792865361,1.0,0.09336419753086418
123,"IPAG Lab, IPAG Business School, Paris, France",0.0017261219792865361,1.0,0.09336419753086418
124,"Insper Instituto de Ensino e Pesquisa, Sao Paulo, Brazil",0.0017261219792865361,1.0,0.09336419753086418
125,University of Science and Technology Beijing,0.0023014959723820483,1.0,0.016530612244897956
126,Erasmus University,0.009205983889528193,11.76923076923077,0.12970189461611817
127,"Production and Quantitative Methods Area, Indian Institute of Management, Ahmedabad, Gujarat 380015, India",0.0005753739930955121,1.0,0.00591715976331361
128,Zhejiang University,0.0023014959723820483,3.5,0.018400228194097278
129,Central University of Finance and Economics,0.004027617951668585,5.571428571428571,0.053969295201073623
130,University of Science and Technology of China,0.009781357882623706,15.823529411764707,0.11917469052836567
131,University of Nottingham Business School China,0.0005753739930955121,1.0,0.0034602076124567475
132,The University of Edinburgh Business School,0.004602991944764097,6.0,0.054660708161865565
133,University of Southampton,0.01668584579976985,25.962962962962962,0.1477821093501311
134,Università Cattolica Milano,0.0011507479861910242,1.0,0.006564000342935528
135,"FBK-irst, Trento, Italy",0.0005753739930955121,1.0,1.0
136,Università Ca’ Foscari Venezia,0.0005753739930955121,1.0,1.0
137,Universidad de La Laguna,0.0034522439585730723,5.333333333333333,0.1994953559841861
138,Universidade Federal de Minas Gerais,0.0028768699654775605,4.6,0.41615148019992304
139,Universidade Federal de Ouro Preto,0.0034522439585730723,3.6666666666666665,0.025055334725042174
140,Technical University of Denmark,0.009781357882623706,16.41176470588235,0.17809474995273852
141,Monash University,0.0034522439585730723,3.5,0.006829185956790125
142,Lancaster University Management School,0.011507479861910242,18.9,0.1093981875157471
143,University of Bath,0.011507479861910242,17.0,0.11534429206321557
144,Nanyang Technological University,0.005178365937859608,7.25,0.035353113877215424
145,South China University of Technology,0.00805523590333717,11.461538461538462,0.07618004400971434
146,"Department of decision sciences, NUS Business School",0.0005753739930955121,1.0,0.00591715976331361
147,Quinnipiac University,0.0023014959723820483,2.5,0.140625
148,University of Cincinnati,0.0011507479861910242,2.0,0.390625
149,Aletheia University,0.0005753739930955121,1.0,1.0
150,Shu-Te University,0.0005753739930955121,1.0,1.0
151,Wake Forest University,0.0017261219792865361,1.0,0.09336419753086418
152,The University of Cincinnati,0.0017261219792865361,1.0,0.09336419753086418
153,The University of Chicago,0.0017261219792865361,1.0,0.09336419753086418
154,Kyungpook National University,0.0011507479861910242,1.0,0.25
155,Ewha Womans University,0.0011507479861910242,1.0,0.25
156,"Indian School of Business, Hyderabad 500 032, India",0.0011507479861910242,1.0,0.25
157,Loughborough University,0.014384349827387802,23.0,0.13616360318704535
158,University of Warwick,0.01668584579976985,25.0,0.1303481908125891
159,"National Institute for Health Research Collaboration for Leadership in Applied Health Research and Care, Southampton General Hospital, Mailpoint 11, AA72, South Academic Block, Tremona Road, Southampton SO16 6YD, UK",0.0011507479861910242,1.0,0.0054869684499314125
160,Seoul National University,0.0011507479861910242,1.0,0.25
161,"College of Business, Korea Advanced Institute of Science and Technology (KAIST), 85 Hoegi-ro, Dongdaemun-gu, Seoul, 02455, South Korea",0.0011507479861910242,1.0,0.25
162,"Lenovo, China",0.0011507479861910242,1.0,0.25
163,"Inria de Paris, EPC Mamba, UPMC et CNRS, Paris F75005, France",0.0011507479861910242,1.0,0.140625
164,"Ecole Polytechnique, Route de Saclay, 91128 Palaiseau, France",0.0011507479861910242,1.0,0.140625
165,Nanjing Audit University,0.007479861910241657,10.666666666666666,0.09615813982107607
166,Southwestern University of Finance and Economics,0.009205983889528193,10.5,0.05524889211995653
167,Technical University of Munich,0.006904487917146145,9.8,0.25334444444444454
168,Université François-Rabelais de Tours,0.0005753739930955121,1.0,0.25
169,Centre interuniversitaire de recherche sur les réseaux d’entreprise,0.0011507479861910242,2.0,1.0
170,"ESSCA École de Management, 55 quai Alphonse Le Gallo, 92513 Paris, France",0.0017261219792865361,1.0,0.030624999999999996
171,National Technical University of Athens,0.0028768699654775605,3.4,0.06333611111111113
172,University of Cyprus,0.0028768699654775605,3.8,0.15866944444444442
173,Technical University of Crete,0.004602991944764097,6.75,0.2177777777777778
174,"Department of Economics, KU Leuven, Etienne Sabbelaan 51, Kortrijk 8500, Belgium",0.0011507479861910242,1.0,0.12249999999999998
175,University of Nottingham,0.0028768699654775605,4.2,0.27938775510204084
176,"IÉSEG School of Management, LEM (UMR-CNRS 9221), Socle de la Grande Arche - 1 Parvis de La Défense, Paris La Défense cedex, 92044, France",0.0011507479861910242,1.0,0.12249999999999998
