title,author,affiliation,author idx
Extended formulations and branch-and-cut algorithms for the Black-and-White Traveling Salesman Problem,Luis Gouveia,"DEIO, Faculdade de Ciências da Universidade de Lisboa, CMAFCIO Campo Grande, Cidade Universitária Bloco C6 - Piso 4, 1749-016, Lisbon, Portugal",1
Extended formulations and branch-and-cut algorithms for the Black-and-White Traveling Salesman Problem,Markus Leitner,"University of Vienna, Faculty of Business, Economics and Statistics, Department of Statistics and Operations Research, Oskar-Morgenstern-Platz 1, 1090 Vienna, Vienna, Austria",2
Extended formulations and branch-and-cut algorithms for the Black-and-White Traveling Salesman Problem,Mario Ruthmair,"University of Vienna, Faculty of Business, Economics and Statistics, Department of Statistics and Operations Research, Oskar-Morgenstern-Platz 1, 1090 Vienna, Vienna, Austria",3
A double oracle approach to minmax regret optimization problems with interval data,Hugo Gilbert,"Sorbonne Universités, UPMC Univ Paris 06, CNRS, LIP6 UMR 7606, 4 Place Jussieu, 75005 Paris, France",1
A double oracle approach to minmax regret optimization problems with interval data,Olivier Spanjaard,"Sorbonne Universités, UPMC Univ Paris 06, CNRS, LIP6 UMR 7606, 4 Place Jussieu, 75005 Paris, France",2
Reduce shortage with self-reservation policy for a manufacturer paying both fixed and variable stockout expenditure,Boray Huang,"Department of Industrial Engineering & Innovation Sciences, Eindhoven University of Technology, Netherlands",1
Reduce shortage with self-reservation policy for a manufacturer paying both fixed and variable stockout expenditure,Andy Wu,"Department of Marketing, National Chung Hsing University, No. 250, Guoguang Rd., South Dist., Taichung 402, Taiwan, ROC",2
A tabu search heuristic for the uncapacitated single allocation p-hub maximal covering problem,Marcos Roberto Silva,"Department of Transportation Engineering, Escola Politécnica, University of São Paulo, Caixa Postal 61548, CEP 05424-970 São Paulo, SP, Brazil",1
A tabu search heuristic for the uncapacitated single allocation p-hub maximal covering problem,Claudio B. Cunha,"Department of Transportation Engineering, Escola Politécnica, University of São Paulo, Caixa Postal 61548, CEP 05424-970 São Paulo, SP, Brazil",2
Appointment scheduling and routing optimization of attended home delivery system with random customer behavior,Shuihua Han,"School of Management, Xiamen University, Xiamen, Fujian, China",1
Appointment scheduling and routing optimization of attended home delivery system with random customer behavior,Ling Zhao,"School of Management, Xiamen University, Xiamen, Fujian, China",2
Appointment scheduling and routing optimization of attended home delivery system with random customer behavior,Kui Chen,"School of Management, Xiamen University, Xiamen, Fujian, China",3
Appointment scheduling and routing optimization of attended home delivery system with random customer behavior,Zong-wei Luo,"Department of Computer Science and Engineering, Southern University of Science and Technology, China",4
Appointment scheduling and routing optimization of attended home delivery system with random customer behavior,Deepa Mishra,"Department of Computer Science and Engineering, Southern University of Science and Technology, China",5
Optimization methods for the Train Unit Shunting Problem,Jørgen Thorlund Haahr,"Department of Management Engineering, Technical University of Denmark, Produktionstorvet 424, 2800 Kongens Lyngby, Denmark",1
Optimization methods for the Train Unit Shunting Problem,Richard M. Lusby,"Department of Management Engineering, Technical University of Denmark, Produktionstorvet 424, 2800 Kongens Lyngby, Denmark",2
Optimization methods for the Train Unit Shunting Problem,Joris Camiel Wagenaar,"Rotterdam School of Management, Erasmus University, Technology and Operations Management, Burgemeester Oudlaan 50, 3062 PA Rotterdam, The Netherlands",3
Inventory management under price-based and stockout-based substitution,Sandra Transchel,"Kuehne Logistics University, Großsser Grasbrook 17, 20457 Hamburg, Germany",1
A two-period model of product cannibalization in an atypical Closed-loop Supply Chain with endogenous returns: The case of DellReconnect,Vinay Ramani,"Department of Economics Indian Institute of Management, Mohanlal Sukhadia University Campus, Ganesh Nagar, Udaipur, 313001, India",1
A two-period model of product cannibalization in an atypical Closed-loop Supply Chain with endogenous returns: The case of DellReconnect,Pietro De Giovanni,"Operations Management Department ESSEC Business School, Paris-Singapore 3 Avenue Bernard Hirsch, Cergy-Pontoise 95021, France",2
A Two-echelon joint continuous-discrete location model,Prahalad Venkateshan,"Wing 10D, Indian Institute of Management, Vastrapur, Ahmedabad 380015, India",1
A Two-echelon joint continuous-discrete location model,Ronald H. Ballou,"Weatherhead School of Management, Case Western Reserve University, 10900 Euclid Avenue, Cleveland, OH 44106, USA",2
A Two-echelon joint continuous-discrete location model,Kamlesh Mathur,"Weatherhead School of Management, Case Western Reserve University, 10900 Euclid Avenue, Cleveland, OH 44106, USA",3
A Two-echelon joint continuous-discrete location model,Arulanantha P.P. Maruthasalam,"Indian Institute of Management, Vastrapur, Ahmedabad 380015, India",4
A multi-objective facility location problem in the presence of variable gradual coverage performance and cooperative cover,Mumtaz Karatas,"Department of Industrial Engineering, Turkish Naval Academy, Tuzla, Istanbul 34940, Turkey",1
Combining Wang–Landau sampling algorithm and heuristics for solving the unequal-area dynamic facility layout problem,Jingfa Liu,"School of Computer and Software, Nanjing University of Information Science and Technology, Nanjing 210044, China",1
Combining Wang–Landau sampling algorithm and heuristics for solving the unequal-area dynamic facility layout problem,Dawen Wang,"School of Computer and Software, Nanjing University of Information Science and Technology, Nanjing 210044, China",2
Combining Wang–Landau sampling algorithm and heuristics for solving the unequal-area dynamic facility layout problem,Kun He,"School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan 430074, China",3
Combining Wang–Landau sampling algorithm and heuristics for solving the unequal-area dynamic facility layout problem,Yu Xue,"School of Computer and Software, Nanjing University of Information Science and Technology, Nanjing 210044, China",4
Bargaining model of labor disputes considering social mediation and bounded rationality,Dehai Liu,"Center for Industrial and Business Organization, Dongbei University of Finance and Economics, 116025 Dalian, Liaoning, China",1
Bargaining model of labor disputes considering social mediation and bounded rationality,Wei Lv,"Center for Industrial and Business Organization, Dongbei University of Finance and Economics, 116025 Dalian, Liaoning, China",2
Bargaining model of labor disputes considering social mediation and bounded rationality,Hongyi Li,"Business School, Chinese University of Hong Kong, Shatin, NT, Hong Kong",3
Bargaining model of labor disputes considering social mediation and bounded rationality,Jiafu Tang,"School of Management Science and Engineering, Dongbei University of Finance and Economics, 116025 Dalian, Liaoning, China",4
